CustomerID,Recency,Monetary,Frequency,RecencyQuartile,MonetaryQuartile,FrequencyQuartile,RMFSegment,RMFScore,Cluster,Segments,ClusterSegments
12347,2,4310.0,182,5,5,5,555,15,1,champions,Platinum
12348,75,1797.24,31,2,4,3,243,9,3,at_Risk,Gold
12349,19,1757.55,73,4,4,4,444,12,3,loyal_customers,Gold
12350,310,334.4,17,1,2,2,122,5,0,hibernating,Bronze
12352,36,2506.04,85,3,5,4,354,12,3,loyal_customers,Gold
12353,204,89.0,4,1,1,1,111,3,0,hibernating,Bronze
12354,232,1079.4,58,1,4,3,143,8,3,at_Risk,Gold
12355,214,459.4,13,1,2,1,121,4,0,hibernating,Bronze
12356,23,2811.43,59,4,5,4,454,13,3,loyal_customers,Gold
12357,33,6207.67,131,4,5,5,455,14,1,loyal_customers,Platinum
12358,2,1168.06,19,5,4,2,542,11,2,champions,Silver
12359,58,6372.58,248,3,5,5,355,13,1,loyal_customers,Platinum
12360,52,2662.06,129,3,5,5,355,13,3,loyal_customers,Gold
12361,287,189.9,10,1,1,1,111,3,0,hibernating,Bronze
12362,3,5226.23,266,5,5,5,555,15,1,champions,Platinum
12363,110,552.0,23,2,3,2,232,7,0,at_Risk,Bronze
12364,8,1313.1,85,5,4,4,544,13,1,champions,Platinum
12365,291,641.38,22,1,3,2,132,6,0,at_Risk,Bronze
12367,4,168.9,11,5,1,1,511,7,2,new_customers,Silver
12370,51,3545.69,167,3,5,5,355,13,3,loyal_customers,Gold
12371,45,1887.96,63,3,4,4,344,11,3,loyal_customers,Gold
12372,72,1298.04,52,3,4,3,343,10,3,loyal_customers,Gold
12373,311,364.6,14,1,2,1,121,4,0,hibernating,Bronze
12374,25,742.9300000000001,33,4,3,3,433,10,2,potential_loyalists,Silver
12375,11,457.5,17,5,2,2,522,9,2,potential_loyalists,Silver
12377,315,1628.12,77,1,4,4,144,9,3,at_Risk,Gold
12378,130,4008.62,219,2,5,5,255,12,3,at_Risk,Gold
12379,82,852.24,40,2,3,3,233,8,3,at_Risk,Gold
12380,22,2724.81,104,4,5,4,454,13,1,loyal_customers,Platinum
12381,5,1845.31,87,5,4,4,544,13,1,champions,Platinum
12383,185,1850.56,99,1,4,4,144,9,3,at_Risk,Gold
12384,29,585.27,27,4,3,2,432,9,2,potential_loyalists,Silver
12386,338,401.9,10,1,2,1,121,4,0,hibernating,Bronze
12388,16,2780.66,100,4,5,4,454,13,1,loyal_customers,Platinum
12390,80,549.84,32,2,3,3,233,8,3,at_Risk,Gold
12391,22,460.89,100,4,2,4,424,10,2,potential_loyalists,Silver
12393,72,1582.6000000000001,64,3,4,4,344,11,3,loyal_customers,Gold
12394,64,1272.48,27,3,4,2,342,9,3,loyal_customers,Gold
12395,19,3018.63,156,4,5,5,455,14,1,loyal_customers,Platinum
12397,36,2409.9,126,3,5,5,355,13,3,loyal_customers,Gold
12398,46,1635.6599999999999,85,3,4,4,344,11,3,loyal_customers,Gold
12399,119,1108.65,59,2,4,4,244,10,3,at_Risk,Gold
12401,303,84.3,5,1,1,1,111,3,0,hibernating,Bronze
12402,323,225.6,11,1,1,1,111,3,0,hibernating,Bronze
12403,50,427.7,5,3,2,1,321,6,0,about_to_sleep,Bronze
12405,149,1710.39,54,2,4,3,243,9,3,at_Risk,Gold
12406,22,3415.3,105,4,5,4,454,13,1,loyal_customers,Platinum
12407,50,1708.1200000000001,77,3,4,4,344,11,3,loyal_customers,Gold
12408,33,2888.55,105,4,5,4,454,13,3,loyal_customers,Gold
12409,79,11072.67,109,2,5,4,254,11,3,at_Risk,Gold
12410,309,693.3299999999999,26,1,3,2,132,6,0,at_Risk,Bronze
12412,75,1226.88,61,2,4,4,244,10,3,at_Risk,Gold
12413,67,758.1,38,3,3,3,333,9,3,need_attention,Gold
12414,217,562.41,18,1,3,2,132,6,0,at_Risk,Bronze
12415,24,124914.53,714,4,5,5,455,14,1,loyal_customers,Platinum
12417,3,3649.1,192,5,5,5,555,15,1,champions,Platinum
12418,113,668.58,34,2,3,3,233,8,3,at_Risk,Gold
12420,64,600.39,29,3,3,2,332,8,3,need_attention,Gold
12421,16,807.04,45,4,3,3,433,10,2,potential_loyalists,Silver
12422,96,803.5600000000001,39,2,3,3,233,8,3,at_Risk,Gold
12423,1,1859.31,125,5,4,5,545,14,1,champions,Platinum
12424,163,1760.96,30,2,4,3,243,9,3,at_Risk,Gold
12425,78,777.2,36,2,3,3,233,8,3,at_Risk,Gold
12426,195,582.73,30,1,3,3,133,7,3,at_Risk,Gold
12427,22,825.8,31,4,3,3,433,10,2,potential_loyalists,Silver
12428,26,7956.46,294,4,5,5,455,14,1,loyal_customers,Platinum
12429,9,3750.4,97,5,5,4,554,14,1,champions,Platinum
12430,43,256.4,11,3,2,1,321,6,0,about_to_sleep,Bronze
12431,36,6487.45,235,3,5,5,355,13,1,loyal_customers,Platinum
12432,43,5059.32,108,3,5,4,354,12,3,loyal_customers,Gold
12433,1,13375.87,420,5,5,5,555,15,1,champions,Platinum
12434,85,806.14,50,2,3,3,233,8,3,at_Risk,Gold
12435,80,7829.89,36,2,5,3,253,10,3,at_Risk,Gold
12436,100,509.01,16,2,3,2,232,7,0,at_Risk,Bronze
12437,2,4951.41,199,5,5,5,555,15,1,champions,Platinum
12438,14,2906.85,98,5,5,4,554,14,1,champions,Platinum
12441,367,173.55,11,1,1,1,111,3,0,hibernating,Bronze
12442,3,172.06,12,5,1,1,511,7,2,new_customers,Silver
12444,21,5005.46,176,4,5,5,455,14,1,loyal_customers,Platinum
12445,22,133.4,4,4,1,1,411,6,0,promising,Bronze
12446,58,1002.3100000000001,57,3,4,3,343,10,3,loyal_customers,Gold
12447,243,476.49,26,1,2,2,122,5,0,hibernating,Bronze
12448,44,449.45,22,3,2,2,322,7,2,about_to_sleep,Silver
12449,22,4067.29,191,4,5,5,455,14,1,loyal_customers,Platinum
12450,156,197.88,8,2,1,1,211,4,0,hibernating,Bronze
12451,11,9035.52,354,5,5,5,555,15,1,champions,Platinum
12452,17,430.57,22,4,2,2,422,8,2,potential_loyalists,Silver
12453,134,707.09,43,2,3,3,233,8,3,at_Risk,Gold
12454,56,3528.34,15,3,5,2,352,10,3,loyal_customers,Gold
12455,73,2466.86,90,2,5,4,254,11,3,at_Risk,Gold
12456,44,3181.04,125,3,5,5,355,13,3,loyal_customers,Gold
12457,66,2363.23,62,3,5,4,354,12,3,loyal_customers,Gold
12458,71,947.4,38,3,4,3,343,10,3,loyal_customers,Gold
12461,94,826.88,35,2,3,3,233,8,3,at_Risk,Gold
12462,19,1189.59,62,4,4,4,444,12,3,loyal_customers,Gold
12463,53,1344.78,83,3,4,4,344,11,3,loyal_customers,Gold
12464,10,1212.05,29,5,4,2,542,11,2,champions,Silver
12465,17,742.1899999999999,47,4,3,3,433,10,2,potential_loyalists,Silver
